"filename", "language", "TypeScript", "vue", "CSS", "HTML", "comment", "blank", "total"
"d:\_git\soft-zihan.github.io\src\layout\AppLayout.vue", "vue", 0, 174, 0, 0, 8, 24, 206
"d:\_git\soft-zihan.github.io\src\locales\en.ts", "TypeScript", 261, 0, 0, 0, 25, 26, 312
"d:\_git\soft-zihan.github.io\src\locales\zh.ts", "TypeScript", 263, 0, 0, 0, 25, 26, 314
"d:\_git\soft-zihan.github.io\src\main.ts", "TypeScript", 15, 0, 0, 0, 1, 3, 19
"d:\_git\soft-zihan.github.io\src\stores\appStore.ts", "TypeScript", 214, 0, 0, 0, 15, 34, 263
"d:\_git\soft-zihan.github.io\src\stores\articleStore.ts", "TypeScript", 170, 0, 0, 0, 26, 37, 233
"d:\_git\soft-zihan.github.io\src\stores\index.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"d:\_git\soft-zihan.github.io\src\stores\learningStore.ts", "TypeScript", 181, 0, 0, 0, 35, 38, 254
"d:\_git\soft-zihan.github.io\src\stores\musicStore.ts", "TypeScript", 254, 0, 0, 0, 17, 38, 309
"d:\_git\soft-zihan.github.io\src\styles\app.css", "CSS", 0, 0, 93, 0, 1, 17, 111
"d:\_git\soft-zihan.github.io\src\types.ts", "TypeScript", 26, 0, 0, 0, 5, 5, 36
"d:\_git\soft-zihan.github.io\src\utils\fileUtils.ts", "TypeScript", 38, 0, 0, 0, 2, 5, 45
"d:\_git\soft-zihan.github.io\src\utils\sanitize.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"d:\_git\soft-zihan.github.io\src\views\ArticleReader.vue", "vue", 0, 474, 0, 0, 13, 56, 543
"Total", "-", 5680, 19936, 93, 238, 1412, 3606, 30965
